Date,Weekday,Holiday Name,Holiday Type
20180101,Monday,New Year's Day,National holiday
20180102,Tuesday,New Year's weekend,Common Local holidays
20180211,Sunday,Special Working Day,Weekend
20180215,Thursday,Spring Festival Eve,National holiday
20180216,Friday,Chinese New Year,National holiday
20180217,Saturday,Spring Festival Golden Week holiday,National holiday
20180218,Sunday,Spring Festival Golden Week holiday,Common Local holidays
20180219,Monday,Spring Festival Golden Week holiday,Common Local holidays
20180220,Tuesday,Spring Festival Golden Week holiday,Common Local holidays
20180221,Wednesday,Spring Festival Golden Week holiday,Common Local holidays
20180224,Saturday,Special Working Day,Weekend
20180405,Thursday,Qing Ming Jie,National holiday
20180408,Sunday,Special Working Day,Weekend
20180428,Saturday,Special Working Day,Weekend
20180501,Tuesday,Labour Day,National holiday
20180618,Monday,Dragon Boat Festival,National holiday
20180924,Monday,Mid-Autumn Festival,National holiday
20180929,Saturday,Special Working Day,Weekend
20180930,Sunday,Special Working Day,Weekend
20181001,Monday,National Day,National holiday
20181002,Tuesday,National Day Golden Week holiday,National holiday
20181003,Wednesday,National Day Golden Week holiday,National holiday
20181004,Thursday,National Day Golden Week holiday,Common Local holidays
20181005,Friday,National Day Golden Week holiday,Common Local holidays
20181006,Saturday,National Day Golden Week holiday,Common Local holidays
20181007,Sunday,National Day Golden Week holiday,Common Local holidays
